,trade_date,open,high,low,close,change,vol,amount
0,20191211,15.38,15.68,15.3,15.66,0.33,871505.19,1351786.53
1,20191210,15.36,15.38,15.25,15.33,-0.08,556383.88,851377.532
2,20191209,15.62,15.62,15.35,15.41,-0.19,605992.89,935135.952
3,20191206,15.47,15.72,15.46,15.6,0.17,712615.24,1109423.061
4,20191205,15.35,15.48,15.3,15.43,0.12,557084.46,857682.575
5,20191204,15.34,15.41,15.21,15.31,-0.14,524545.27,802110.334
6,20191203,15.3,15.46,15.21,15.45,0.09,455418.05,700293.548
7,20191202,15.35,15.43,15.23,15.36,0.07,553877.38,849784.129
8,20191129,15.54,15.55,15.18,15.29,-0.2,653866.91,1001451.096
9,20191128,15.47,15.54,15.44,15.49,0.02,378016.51,585252.046
10,20191127,15.64,15.64,15.39,15.47,-0.15,476169.98,736584.294
11,20191126,15.89,15.89,15.49,15.62,-0.18,815297.53,1271594.662
12,20191125,15.64,15.84,15.54,15.8,0.21,783257.94,1233388.886
13,20191122,15.89,15.92,15.55,15.59,-0.27,773473.54,1216064.537
14,20191121,15.75,15.87,15.63,15.86,0.01,772563.24,1218516.399
15,20191120,16.3,16.3,15.77,15.85,-0.56,1724383.53,2747598.383
16,20191119,16.45,16.48,16.31,16.41,-0.04,562120.4,920998.203
17,20191118,16.35,16.55,16.23,16.45,0.11,557918.41,915983.935
18,20191115,16.39,16.55,16.24,16.34,0.02,569227.98,933539.572
19,20191114,16.43,16.48,16.25,16.32,-0.01,468899.55,767006.342
20,20191113,16.29,16.46,16.06,16.33,0.0,655120.65,1067975.601
21,20191112,16.29,16.37,16.16,16.33,0.05,516266.4,840769.286
22,20191111,16.5,16.53,16.2,16.28,-0.37,953515.63,1556517.253
23,20191108,16.98,17.02,16.64,16.65,-0.24,849139.24,1421088.326
24,20191107,16.93,17.07,16.75,16.89,-0.07,711896.99,1200671.649
25,20191106,17.06,17.26,16.88,16.96,-0.19,863325.36,1470233.502
26,20191105,16.8,17.44,16.79,17.15,0.23,1172485.89,2010924.199
27,20191104,16.98,17.25,16.77,16.92,0.06,889824.25,1507910.818
28,20191101,16.35,17.0,16.28,16.86,0.6,1254655.44,2096068.96
29,20191031,16.42,16.47,16.24,16.26,-0.17,862569.3,1407006.434
30,20191030,16.8,16.96,16.42,16.43,-0.48,854317.17,1420644.944
31,20191029,16.69,16.93,16.56,16.91,0.25,788864.73,1322036.352
32,20191028,16.98,17.04,16.48,16.66,-0.22,1070131.13,1780873.358
33,20191025,16.78,16.96,16.58,16.88,0.01,691435.76,1161100.08
34,20191024,16.5,17.0,16.44,16.87,0.42,1109214.77,1861032.918
35,20191023,16.32,16.67,16.23,16.45,0.03,967534.59,1590781.971
36,20191022,16.91,16.93,16.03,16.42,-0.47,1883531.43,3072547.165
37,20191021,16.43,16.97,16.43,16.89,0.38,945952.25,1589276.085
38,20191018,16.8,17.04,16.43,16.51,-0.19,1196799.14,1999012.671
39,20191017,16.9,17.0,16.55,16.7,-0.09,1126182.22,1887045.621
40,20191016,17.26,17.44,16.63,16.79,-0.39,1267671.21,2146150.627
41,20191015,17.25,17.35,16.82,17.18,-0.04,881955.42,1503633.369
42,20191014,16.97,17.6,16.92,17.22,0.41,1557637.45,2688929.547
43,20191011,16.2,16.95,16.2,16.81,0.57,1405422.82,2335030.599
44,20191010,16.27,16.27,15.99,16.24,-0.01,879746.62,1418751.875
45,20191009,16.1,16.52,16.02,16.25,0.05,1316693.41,2145061.763
46,20191008,15.6,16.23,15.6,16.2,0.61,1386676.36,2225024.598
47,20190930,15.75,15.89,15.57,15.59,-0.31,1046363.17,1645828.526
48,20190927,15.85,16.0,15.7,15.9,0.19,1007706.27,1598567.052
49,20190926,15.86,16.04,15.66,15.71,-0.04,1686592.58,2673096.951
50,20190925,15.2,15.85,15.19,15.75,0.57,1938892.72,3024598.93
51,20190924,15.47,15.54,15.18,15.18,-0.2,1129103.24,1726238.272
52,20190923,15.34,15.47,15.18,15.38,0.04,1403282.0,2148740.448
53,20190920,14.95,15.4,14.93,15.34,0.5,2644285.14,4020646.521
54,20190919,14.48,14.89,14.48,14.84,0.43,1884020.83,2777383.508
55,20190918,14.24,14.48,14.24,14.41,0.17,820436.33,1179079.988
56,20190917,14.36,14.45,14.18,14.24,-0.21,882655.75,1261416.554
57,20190916,14.7,14.72,14.4,14.45,-0.23,929894.14,1349401.481
58,20190912,14.66,14.78,14.53,14.68,0.12,1150687.64,1682911.849
59,20190911,14.6,14.71,14.46,14.56,0.01,818614.21,1192674.258
60,20190910,14.6,14.64,14.41,14.55,-0.14,796870.64,1155180.739
61,20190909,14.98,15.0,14.6,14.69,-0.12,1299839.14,1918042.303
62,20190906,14.71,14.81,14.62,14.81,0.23,986432.8,1451264.912
63,20190905,14.56,14.85,14.55,14.58,0.14,1768051.43,2599478.258
64,20190904,14.32,14.5,14.31,14.44,0.14,973964.87,1404037.295
65,20190903,14.48,14.51,14.25,14.3,-0.15,858653.65,1230606.485
66,20190902,14.15,14.5,14.11,14.45,0.29,1360201.3,1955673.136
67,20190830,14.29,14.39,14.1,14.16,0.03,798500.57,1136119.659
68,20190829,14.22,14.24,14.08,14.13,-0.14,609034.34,861177.482
69,20190828,14.26,14.28,14.05,14.27,-0.04,829657.68,1176329.095
70,20190827,14.36,14.48,14.24,14.31,0.06,1356713.37,1948127.123
71,20190826,14.42,14.5,14.15,14.25,-0.4,1415122.54,2018498.039
72,20190823,14.37,14.74,14.35,14.65,0.34,1636867.68,2388239.081
73,20190822,14.4,14.45,14.2,14.31,-0.14,1353071.58,1935208.499
74,20190821,14.87,14.89,14.38,14.45,-0.54,1990131.95,2902251.1
75,20190820,14.92,15.2,14.77,14.99,0.07,1921041.5,2872304.2
76,20190819,14.91,14.94,14.52,14.92,0.02,2292956.13,3368207.935
77,20190816,15.09,15.14,14.78,14.9,-0.04,986902.93,1474900.257
78,20190815,14.64,14.96,14.6,14.94,-0.03,897376.26,1333117.725
79,20190814,15.14,15.22,14.8,14.97,0.08,1360546.54,2038261.151
80,20190813,15.0,15.08,14.74,14.89,-0.23,1293736.44,1925835.288
81,20190812,14.61,15.12,14.6,15.12,0.6,2733425.47,4084497.902
82,20190809,14.55,14.85,14.43,14.52,0.14,2060575.13,3021884.306
83,20190808,13.9,14.5,13.85,14.38,0.84,2330715.04,3313302.1
84,20190807,13.49,13.64,13.37,13.54,0.17,793038.99,1070736.943
85,20190806,13.1,13.46,13.03,13.37,0.02,882499.13,1166971.469
86,20190805,13.6,13.64,13.27,13.35,-0.39,893082.42,1201885.399
87,20190802,13.77,13.88,13.66,13.74,-0.36,969926.46,1333400.773
88,20190801,14.06,14.19,13.94,14.1,-0.03,527981.28,742308.285
